title,company,location,work_mode,job_type,skills,salary_avg,date_posted,experience_level,education,source,job_url,salary_min,salary_max,role,country
Decision Science Consultant,The Walt Disney Company,"Lake Buena Vista, Florida, United States",onsite,fulltime,,,2026-03-09 00:00:00+00:00,mid-level,Masters in Decision Science,datasciencejobs,https://datasciencejobs.com/jobs/decision-science-consultant-the-walt-disney-company-united-states-1/,,,Other,United States
Data Scientist,Navistar Inc,"Lisle, Illinois, United States",onsite,fulltime,,,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-navistar-inc-united-states-2/,,,Data Scientist,United States
AI Data Scientist Lead,Opus Technologies,"Atlanta, Georgia, United States",onsite,fulltime,,,2026-03-09 00:00:00+00:00,lead,Masters in AI,datasciencejobs,https://datasciencejobs.com/jobs/ai-data-scientist-lead-opus-technologies-united-states-1/,,,Data Scientist,United States
"Manager, Data Science",Webster Bank,"New York, New York, United States",onsite,fulltime,,130000.0,2026-03-09 00:00:00+00:00,mid-level,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/manager-data-science-webster-bank-united-states-1/,125000.0,135000.0,Data Scientist,United States
Data Scientist,Abbott,"Alameda, California, United States",onsite,fulltime,,163900.0,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-abbott-united-states-1/,109300.0,218500.0,Data Scientist,United States
Data Scientist,Apple,"Austin, Texas, United States",onsite,fulltime,,,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-apple-united-states-28/,,,Data Scientist,United States
Growth Data Scientist,Veda,", , United States",onsite,fulltime,,,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/growth-data-scientist-veda-united-states-1/,,,Data Scientist,United States
Senior Data Scientist,Discount Tire,"Scottsdale, Arizona, United States",onsite,fulltime,,,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-data-scientist-discount-tire-united-states-1/,,,Data Scientist,United States
Finance Analytics Data Scientist,Tesla,"San Jose, California, United States",onsite,fulltime,,195000.0,2026-03-09 00:00:00+00:00,mid-level,Bachelors in Finance,datasciencejobs,https://datasciencejobs.com/jobs/finance-analytics-data-scientist-tesla-united-states-7/,84000.0,306000.0,Data Scientist,United States
Data Scientist,Southern Company,"Birmingham, Alabama, United States",onsite,fulltime,,,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-southern-company-united-states-1/,,,Data Scientist,United States
